City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,codrington,-38.2667,141.9667,60.96,58,100,17.47,AU,1674008853
190,salamiyah,35.0113,37.0532,47.84,89,18,4.03,SY,1674009105
191,tiksi,71.6872,128.8694,-20.74,100,100,5.73,RU,1674008809
192,ugoofaaru,5.6667,73.0,80.69,77,21,14.07,MV,1674009105
193,sorong,-0.8833,131.25,83.21,74,97,11.7,ID,1674009106
194,vostok,46.4856,135.8833,-1.97,80,76,7.87,RU,1674009106
195,reshetylivka,49.565,34.0782,42.04,87,100,17.18,UA,1674009107
196,fairbanks,64.8378,-147.7164,-4.92,81,20,5.75,US,1674009107
197,ndioum,16.5129,-14.6471,76.15,14,96,9.19,SN,1674009108
198,ryotsu,38.0833,138.4333,41.2,83,100,13.15,JP,1674008902
199,kijang,35.2442,129.2139,38.93,41,20,3.44,KR,1674009108
200,eugene,44.0521,-123.0867,47.03,82,100,8.05,US,1674008722
201,saldanha,-33.0117,17.9442,60.85,94,97,10.4,ZA,1674009109
202,vyshkov,52.4764,31.6873,39.67,98,100,12.84,RU,1674009109
203,podyuga,61.095,40.8647,26.87,93,100,9.64,RU,1674009110
204,pacasmayo,-7.4006,-79.5714,69.35,75,72,7.52,PE,1674009110
205,paoua,7.2427,16.4406,66.88,33,31,5.3,CF,1674009111
206,abha,18.2164,42.5053,50.25,87,0,5.75,SA,1674009111
207,puerto madryn,-42.7692,-65.0385,71.13,70,100,9.55,AR,1674008898
208,sinnamary,5.3833,-52.95,75.11,83,94,6.33,GF,1674008904
209,oktyabrskoye,43.0645,44.7417,24.94,100,100,0.0,RU,1674009112
210,san quintin,30.4833,-115.95,55.33,66,8,13.15,MX,1674009113
211,castro,-24.7911,-50.0119,64.6,99,100,3.02,BR,1674009113
212,kavaratti,10.5669,72.642,79.77,75,35,9.8,IN,1674008822
213,zhigansk,66.7697,123.3711,-52.89,96,86,4.65,RU,1674009114
214,la tuque,47.4334,-72.7824,10.65,92,100,1.14,CA,1674009114
215,saskylakh,71.9167,114.0833,-26.46,100,99,7.16,RU,1674009115
216,shache,38.4167,77.2406,-2.24,99,73,4.18,CN,1674009115
217,klaksvik,62.2266,-6.589,34.72,61,100,30.6,FO,1674008824
218,pouembout,-21.1333,164.9,73.47,90,100,6.87,NC,1674009116
219,kandrian,-6.2167,149.55,86.63,63,100,17.47,PG,1674009116
220,tasiilaq,65.6145,-37.6368,15.96,72,68,9.48,GL,1674009117
221,jacqueville,5.2052,-4.4146,79.83,84,69,4.5,CI,1674009117
222,shaki,41.0833,47.1667,33.33,66,90,3.09,AZ,1674009117
223,pangnirtung,66.1451,-65.7125,-12.87,71,100,3.58,CA,1674009118
224,nago,26.5881,127.9761,63.45,69,95,13.2,JP,1674009118
225,sao jose da coroa grande,-8.8978,-35.1478,77.36,83,100,8.72,BR,1674009119
226,alofi,-19.0595,-169.9187,85.89,79,75,6.91,NU,1674009119
227,kayes,14.0,-11.0,73.72,14,5,8.97,ML,1674009120
228,lagoa,39.05,-27.9833,56.48,69,0,12.19,PT,1674009120
229,cuamba,-14.8031,36.5372,68.14,97,100,2.08,MZ,1674009121
230,arlit,18.7369,7.3853,56.5,23,1,5.1,NE,1674009121
231,manzhouli,49.6,117.4333,-1.84,95,99,2.19,CN,1674009122
232,maniago,46.1706,12.7078,39.15,95,100,1.3,IT,1674009123
233,lev tolstoy,53.2134,39.446,24.8,84,98,17.25,RU,1674009124
234,moengo,5.6167,-54.4,69.57,94,80,1.74,SR,1674009125
235,korla,41.7597,86.1469,6.35,86,6,0.58,CN,1674009126
236,airai,-8.9266,125.4092,72.93,66,100,3.18,TL,1674009126
237,beipiao,41.7919,120.7792,21.2,34,0,12.53,CN,1674009127
238,luderitz,-26.6481,15.1594,65.35,87,87,3.78,NA,1674009127
239,chinhoyi,-17.3667,30.2,62.94,97,100,4.76,ZW,1674009128
240,saint-francois,46.4154,3.9054,33.24,93,100,3.44,FR,1674009129
241,ahipara,-35.1667,173.1667,70.3,67,12,11.32,NZ,1674009130
242,pringsewu,-5.3582,104.9744,82.13,75,94,1.21,ID,1674009130
243,barcelos,41.5388,-8.6151,48.34,78,99,18.72,PT,1674008939
244,conakry,9.538,-13.6773,77.61,75,97,6.38,GN,1674008823
245,mweka,-4.85,21.5667,64.24,98,100,0.45,CD,1674009131
246,estelle,29.8458,-90.1067,70.0,91,40,6.91,US,1674009132
247,lumsden,50.6501,-104.8678,17.01,93,100,9.08,CA,1674009010
248,lazne bohdanec,50.0756,15.6798,35.49,99,100,5.01,CZ,1674009133
249,cartagena del chaira,1.3349,-74.8429,71.11,97,100,1.34,CO,1674009134
250,bosaso,11.2842,49.1816,73.0,76,63,4.14,SO,1674009134
251,suntar,62.1444,117.6319,-58.86,98,95,1.7,RU,1674009135
252,cabo rojo,18.0866,-67.1457,73.96,64,3,11.59,PR,1674009135
253,umm kaddadah,13.6017,26.6876,57.63,30,100,11.52,SD,1674009136
254,longyearbyen,78.2186,15.6401,12.04,67,0,13.8,SJ,1674009136
255,anadyr,64.75,177.4833,-17.9,69,0,13.42,RU,1674009137
256,giyon,8.5333,37.9833,52.03,33,52,8.84,ET,1674009137
257,ilulissat,69.2167,-51.1,-26.1,83,90,5.66,GL,1674009138
258,luena,-11.7833,19.9167,60.35,97,100,3.65,AO,1674009139
259,banda aceh,5.5577,95.3222,77.49,75,100,11.97,ID,1674008924
260,bumba,2.1833,22.4667,69.87,76,85,3.24,CD,1674009139
261,nytva,57.9404,55.334,15.69,91,100,7.05,RU,1674009140
262,praia,14.9215,-23.5087,73.94,78,0,24.16,CV,1674009140
263,ucluelet,48.9329,-125.5528,48.09,94,100,1.99,CA,1674009141
264,black diamond,47.3087,-122.0032,45.46,86,100,1.99,US,1674009017
265,mogadishu,2.0371,45.3438,74.07,84,91,14.76,SO,1674009142
266,sosnogorsk,63.6023,53.8817,14.41,94,96,7.05,RU,1674009142
267,labuhan,-6.8844,112.2051,81.59,78,100,4.94,ID,1674009143
268,port hardy,50.6996,-127.4199,42.98,100,100,19.57,CA,1674009012
269,gizo,-8.103,156.8419,83.77,76,94,15.95,SB,1674009144
270,fengrun,39.8333,118.1167,29.64,32,0,9.73,CN,1674009144
271,buala,-8.145,159.5921,82.89,79,99,11.45,SB,1674009145
272,almaznyy,48.0448,40.045,28.56,93,98,14.79,RU,1674009145
273,port maria,18.3685,-76.8895,78.76,94,4,6.58,JM,1674009146
274,kamyshin,50.0983,45.416,17.58,97,93,5.19,RU,1674009146
275,carballo,43.213,-8.691,49.87,78,100,14.94,ES,1674009147
276,agadir,30.4202,-9.5982,50.45,70,0,7.74,MA,1674009063
277,makakilo city,21.3469,-158.0858,81.19,64,0,9.22,US,1674009148
278,scarborough,54.2797,-0.4044,33.66,85,87,7.0,GB,1674009148
279,malayal,7.208,121.942,87.6,73,73,2.66,PH,1674009149
280,pativilca,-10.7,-77.7833,69.8,77,99,5.3,PE,1674009149
281,ostrovnoy,68.0531,39.5131,22.1,90,8,23.13,RU,1674009150
282,kindu,-2.95,25.95,67.75,99,98,2.46,CD,1674009150
283,kasama,-10.2129,31.1808,60.12,98,100,3.78,ZM,1674009151
284,kyzyl-suu,42.3414,78.0056,12.72,58,4,8.77,KG,1674009151
285,grootfontein,-19.5667,18.1167,63.97,100,100,1.14,NA,1674009152
286,solnechnyy,50.7214,136.6319,-7.91,83,23,3.18,RU,1674009152
287,sao gabriel,-30.3364,-54.32,73.06,72,0,17.02,BR,1674009153
288,sabang,5.8933,95.3214,80.58,66,100,17.25,ID,1674009153
289,orlik,52.5178,99.825,-0.13,85,100,12.91,RU,1674009153
290,beringovskiy,63.05,179.3167,-17.48,88,83,13.78,RU,1674009154
291,charters towers,-20.1,146.2667,79.93,63,99,14.29,AU,1674009154
292,grindavik,63.8424,-22.4338,21.67,68,40,10.36,IS,1674009155
293,fort saint james,54.4333,-124.25,32.0,91,100,6.53,CA,1674009155
294,dubna,56.7333,37.1667,29.64,93,100,14.25,RU,1674009156
295,wanaka,-44.7,169.15,78.12,47,26,5.99,NZ,1674009156
296,palm valley,30.1775,-81.3876,65.05,66,2,8.01,US,1674009127
297,yeppoon,-23.1333,150.7333,82.18,71,56,19.06,AU,1674009157
298,acajutla,13.5928,-89.8275,76.06,83,65,3.8,SV,1674009157
299,iqaluit,63.7506,-68.5145,-9.31,69,100,0.0,CA,1674008910
300,aklavik,68.2191,-135.0107,-22.36,100,100,0.51,CA,1674008910
301,tabuk,17.4189,121.4443,70.66,90,100,6.76,PH,1674009158
302,port blair,11.6667,92.75,73.44,83,75,0.0,IN,1674008879
303,ponta do sol,32.6667,-17.1,62.01,77,90,8.3,PT,1674009158
304,dunmore town,25.5,-76.65,71.98,58,10,6.73,BS,1674009078
305,tevriz,57.509,72.4042,9.14,84,100,6.69,RU,1674009159
306,kamaishi,39.2667,141.8833,42.91,59,100,9.66,JP,1674009160
